file_id,file_number,file_title,file_type,section,received_date,due_date,completed_date,status,priority,assigned_to,remarks
F037,/DFO/2026/037,Field Complaint 2/2,Budget,Enforcement,2025-07-10,2025-07-17,2025-07-17,completed,high,meera,Closed
F038,/DFO/2026/038,Patrol Action Memo 2/3,Circular,Enforcement,2025-07-13,2025-07-21,2025-07-18,completed,urgent,meera,Closed
F039,/DFO/2026/039,Patrolling Report 3/1,Correspondence,Wildlife,2025-08-02,2025-08-09,,in_progress,urgent,ramesh,Pending action
F040,/DFO/2026/040,Census Circular 3/2,Permit,Wildlife,2025-08-05,2025-08-13,2025-08-10,completed,low,ramesh,Closed
F041,/DFO/2026/041,Camera Trap Proposal 3/3,Proposal,Wildlife,2025-08-08,2025-08-17,2025-08-14,completed,medium,ramesh,Closed
F042,/DFO/2026/042,Transit Permit Review 3/4,Inspection Report,Wildlife,2025-08-11,2025-08-21,2025-08-18,completed,high,ramesh,Closed
F043,/DFO/2026/043,Nursery Note 3/1,Complaint,Plantation,2025-08-03,2025-08-11,,pending,low,sita,Pending action
F044,/DFO/2026/044,Seedling Approval 3/2,Notice,Plantation,2025-08-06,2025-08-15,2025-08-11,completed,medium,sita,Closed
F045,/DFO/2026/045,Stock Inspection 3/3,Budget,Plantation,2025-08-09,2025-08-19,2025-08-21,completed,high,sita,Closed
F046,/DFO/2026/046,Procurement File 3/1,Circular,Administration,2025-08-04,2025-08-13,,pending,low,ajay,Pending action
F047,/DFO/2026/047,Service Book Update 3/2,Correspondence,Administration,2025-08-07,2025-08-17,,escalated,medium,ajay,Pending action
F048,/DFO/2026/048,Inspection Pending Note 3/3,Permit,Administration,2025-08-10,2025-08-21,,pending,high,ajay,Pending action
F049,/DFO/2026/049,Account Reconciliation 3/1,Proposal,Finance,2025-08-05,2025-08-15,,pending,low,pooja,Pending action
F050,/DFO/2026/050,Advance Settlement 3/2,Inspection Report,Finance,2025-08-08,2025-08-19,2025-08-20,completed,medium,pooja,Closed
F051,/DFO/2026/051,Grant Ledger 3/3,Complaint,Finance,2025-08-11,2025-08-23,2025-08-23,completed,high,pooja,Closed
F052,/DFO/2026/052,Collaboration Approval 3/1,Notice,Research,2025-08-06,2025-08-17,2025-08-13,completed,low,vikram,Closed
F053,/DFO/2026/053,Sampling Note 3/2,Budget,Research,2025-08-09,2025-08-21,2025-08-14,completed,medium,vikram,Closed
F054,/DFO/2026/054,Study Review Memo 3/3,Circular,Research,2025-08-12,2025-08-19,2025-08-18,completed,high,vikram,Closed
F055,/DFO/2026/055,Field Complaint 3/1,Correspondence,Enforcement,2025-08-07,2025-08-19,,pending,low,meera,Pending action
F056,/DFO/2026/056,Patrol Action Memo 3/2,Permit,Enforcement,2025-08-10,2025-08-17,2025-08-15,completed,medium,meera,Closed
F057,/DFO/2026/057,Court Reply Notice 3/3,Proposal,Enforcement,2025-08-13,2025-08-21,2025-08-19,completed,high,meera,Closed
F058,/DFO/2026/058,Census Circular 4/1,Inspection Report,Wildlife,2025-09-02,2025-09-09,,in_progress,high,ramesh,Pending action
F059,/DFO/2026/059,Camera Trap Proposal 4/2,Complaint,Wildlife,2025-09-05,2025-09-13,2025-09-11,completed,urgent,ramesh,Closed
F060,/DFO/2026/060,Transit Permit Review 4/3,Notice,Wildlife,2025-09-08,2025-09-17,2025-09-15,completed,low,ramesh,Closed
F061,/DFO/2026/061,Rescue Memo 4/4,Budget,Wildlife,2025-09-11,2025-09-21,2025-09-16,completed,medium,ramesh,Closed
F062,/DFO/2026/062,Seedling Approval 4/1,Circular,Plantation,2025-09-03,2025-09-11,,pending,urgent,sita,Pending action
F063,/DFO/2026/063,Stock Inspection 4/2,Correspondence,Plantation,2025-09-06,2025-09-15,2025-09-12,completed,low,sita,Closed
F064,/DFO/2026/064,Drive Proposal 4/3,Permit,Plantation,2025-09-09,2025-09-19,2025-09-21,completed,medium,sita,Closed
F065,/DFO/2026/065,Service Book Update 4/1,Proposal,Administration,2025-09-04,2025-09-13,,pending,urgent,ajay,Pending action
F066,/DFO/2026/066,Inspection Pending Note 4/2,Inspection Report,Administration,2025-09-07,2025-09-17,,escalated,low,ajay,Pending action
F067,/DFO/2026/067,Attendance File 4/3,Complaint,Administration,2025-09-10,2025-09-21,,pending,medium,ajay,Pending action
F068,/DFO/2026/068,Advance Settlement 4/1,Notice,Finance,2025-09-05,2025-09-15,2025-09-10,completed,urgent,pooja,Closed
F069,/DFO/2026/069,Grant Ledger 4/2,Budget,Finance,2025-09-08,2025-09-19,2025-09-14,completed,low,pooja,Closed
F070,/DFO/2026/070,Budget Approval 4/3,Circular,Finance,2025-09-11,2025-09-23,2025-09-18,completed,medium,pooja,Closed
F071,/DFO/2026/071,Sampling Note 4/1,Correspondence,Research,2025-09-06,2025-09-17,2025-09-11,completed,urgent,vikram,Closed
F072,/DFO/2026/072,Study Review Memo 4/2,Permit,Research,2025-09-09,2025-09-21,2025-09-15,completed,low,vikram,Closed
F073,/DFO/2026/073,Plot Access Request 4/3,Proposal,Research,2025-09-12,2025-09-19,2025-09-19,completed,medium,vikram,Closed
F074,/DFO/2026/074,Patrol Action Memo 4/1,Inspection Report,Enforcement,2025-09-07,2025-09-19,,pending,urgent,meera,Pending action
F075,/DFO/2026/075,Court Reply Notice 4/2,Complaint,Enforcement,2025-09-10,2025-09-17,2025-09-16,completed,low,meera,Closed
F076,/DFO/2026/076,Seizure Case 4/3,Notice,Enforcement,2025-09-13,2025-09-21,2025-09-20,completed,medium,meera,Closed
F077,/DFO/2026/077,Camera Trap Proposal 5/1,Budget,Wildlife,2025-10-02,2025-10-09,,in_progress,medium,ramesh,Pending action
F078,/DFO/2026/078,Transit Permit Review 5/2,Circular,Wildlife,2025-10-05,2025-10-13,2025-10-12,completed,high,ramesh,Closed
F079,/DFO/2026/079,Rescue Memo 5/3,Correspondence,Wildlife,2025-10-08,2025-10-17,2025-10-13,completed,urgent,ramesh,Closed
F080,/DFO/2026/080,Patrolling Report 5/4,Permit,Wildlife,2025-10-11,2025-10-21,2025-10-17,completed,low,ramesh,Closed
F081,/DFO/2026/081,Stock Inspection 5/1,Proposal,Plantation,2025-10-03,2025-10-11,,pending,high,sita,Pending action
F082,/DFO/2026/082,Drive Proposal 5/2,Inspection Report,Plantation,2025-10-06,2025-10-15,2025-10-13,completed,urgent,sita,Closed
F083,/DFO/2026/083,Survival Report 5/3,Complaint,Plantation,2025-10-09,2025-10-19,2025-10-21,completed,low,sita,Closed
F084,/DFO/2026/084,Inspection Pending Note 5/1,Notice,Administration,2025-10-04,2025-10-13,,pending,high,ajay,Pending action
F085,/DFO/2026/085,Attendance File 5/2,Budget,Administration,2025-10-07,2025-10-17,,escalated,urgent,ajay,Pending action
F086,/DFO/2026/086,Movement Note 5/3,Circular,Administration,2025-10-10,2025-10-21,,pending,low,ajay,Pending action
F087,/DFO/2026/087,Grant Ledger 5/1,Correspondence,Finance,2025-10-05,2025-10-15,2025-10-11,completed,high,pooja,Closed
F088,/DFO/2026/088,Budget Approval 5/2,Permit,Finance,2025-10-08,2025-10-19,2025-10-15,completed,urgent,pooja,Closed
F089,/DFO/2026/089,Arrear Clarification 5/3,Proposal,Finance,2025-10-11,2025-10-23,2025-10-16,completed,low,pooja,Closed
F090,/DFO/2026/090,Study Review Memo 5/1,Inspection Report,Research,2025-10-06,2025-10-17,2025-10-12,completed,high,vikram,Closed
F091,/DFO/2026/091,Plot Access Request 5/2,Complaint,Research,2025-10-09,2025-10-21,2025-10-16,completed,urgent,vikram,Closed
F092,/DFO/2026/092,Grant Statement 5/3,Notice,Research,2025-10-12,2025-10-19,2025-10-17,completed,low,vikram,Closed
F093,/DFO/2026/093,Court Reply Notice 5/1,Budget,Enforcement,2025-10-07,2025-10-19,,pending,high,meera,Pending action
F094,/DFO/2026/094,Seizure Case 5/2,Circular,Enforcement,2025-10-10,2025-10-17,2025-10-17,completed,urgent,meera,Closed
F095,/DFO/2026/095,Encroachment Dossier 5/3,Correspondence,Enforcement,2025-10-13,2025-10-21,2025-10-18,completed,low,meera,Closed
F096,/DFO/2026/096,Transit Permit Review 6/1,Permit,Wildlife,2025-11-02,2025-11-09,,in_progress,low,ramesh,Pending action
F097,/DFO/2026/097,Rescue Memo 6/2,Proposal,Wildlife,2025-11-05,2025-11-13,2025-11-10,completed,medium,ramesh,Closed
F098,/DFO/2026/098,Patrolling Report 6/3,Inspection Report,Wildlife,2025-11-08,2025-11-17,2025-11-14,completed,high,ramesh,Closed
F099,/DFO/2026/099,Census Circular 6/4,Complaint,Wildlife,2025-11-11,2025-11-21,2025-11-18,completed,urgent,ramesh,Closed
F100,/DFO/2026/100,Drive Proposal 6/1,Notice,Plantation,2025-11-03,2025-11-11,,pending,medium,sita,Pending action
F101,/DFO/2026/101,Survival Report 6/2,Budget,Plantation,2025-11-06,2025-11-15,2025-11-11,completed,high,sita,Closed
F102,/DFO/2026/102,Nursery Note 6/3,Circular,Plantation,2025-11-09,2025-11-19,2025-11-21,completed,urgent,sita,Closed
F103,/DFO/2026/103,Attendance File 6/1,Correspondence,Administration,2025-11-04,2025-11-13,,pending,medium,ajay,Pending action
F104,/DFO/2026/104,Movement Note 6/2,Permit,Administration,2025-11-07,2025-11-17,,escalated,high,ajay,Pending action
F105,/DFO/2026/105,Procurement File 6/3,Proposal,Administration,2025-11-10,2025-11-21,,pending,urgent,ajay,Pending action
F106,/DFO/2026/106,Budget Approval 6/1,Inspection Report,Finance,2025-11-05,2025-11-15,2025-11-12,completed,medium,pooja,Closed
F107,/DFO/2026/107,Arrear Clarification 6/2,Complaint,Finance,2025-11-08,2025-11-19,2025-11-13,completed,high,pooja,Closed
F108,/DFO/2026/108,Account Reconciliation 6/3,Notice,Finance,2025-11-11,2025-11-23,2025-11-17,completed,urgent,pooja,Closed
F109,/DFO/2026/109,Plot Access Request 6/1,Budget,Research,2025-11-06,2025-11-17,2025-11-13,completed,medium,vikram,Closed
F110,/DFO/2026/110,Grant Statement 6/2,Circular,Research,2025-11-09,2025-11-21,2025-11-14,completed,high,vikram,Closed
F111,/DFO/2026/111,Collaboration Approval 6/3,Correspondence,Research,2025-11-12,2025-11-19,2025-11-18,completed,urgent,vikram,Closed
F112,/DFO/2026/112,Seizure Case 6/1,Permit,Enforcement,2025-11-07,2025-11-19,,pending,medium,meera,Pending action
F113,/DFO/2026/113,Encroachment Dossier 6/2,Proposal,Enforcement,2025-11-10,2025-11-17,2025-11-15,completed,high,meera,Closed
F114,/DFO/2026/114,Field Complaint 6/3,Inspection Report,Enforcement,2025-11-13,2025-11-21,2025-11-19,completed,urgent,meera,Closed
F115,/DFO/2026/115,Rescue Memo 7/1,Complaint,Wildlife,2025-12-02,2025-12-09,,in_progress,urgent,ramesh,Pending action
F116,/DFO/2026/116,Patrolling Report 7/2,Notice,Wildlife,2025-12-05,2025-12-13,2025-12-11,completed,low,ramesh,Closed
F117,/DFO/2026/117,Census Circular 7/3,Budget,Wildlife,2025-12-08,2025-12-17,2025-12-15,completed,medium,ramesh,Closed
F118,/DFO/2026/118,Camera Trap Proposal 7/4,Circular,Wildlife,2025-12-11,2025-12-21,2025-12-16,completed,high,ramesh,Closed
F119,/DFO/2026/119,Survival Report 7/1,Correspondence,Plantation,2025-12-03,2025-12-11,,pending,low,sita,Pending action
F120,/DFO/2026/120,Nursery Note 7/2,Permit,Plantation,2025-12-06,2025-12-15,2025-12-12,completed,medium,sita,Closed
F121,/DFO/2026/121,Seedling Approval 7/3,Proposal,Plantation,2025-12-09,2025-12-19,2025-12-21,completed,high,sita,Closed
F122,/DFO/2026/122,Movement Note 7/1,Inspection Report,Administration,2025-12-04,2025-12-13,,pending,low,ajay,Pending action
F123,/DFO/2026/123,Procurement File 7/2,Complaint,Administration,2025-12-07,2025-12-17,,escalated,medium,ajay,Pending action
F124,/DFO/2026/124,Service Book Update 7/3,Notice,Administration,2025-12-10,2025-12-21,,pending,high,ajay,Pending action
F125,/DFO/2026/125,Arrear Clarification 7/1,Budget,Finance,2025-12-05,2025-12-15,2025-12-10,completed,low,pooja,Closed
F126,/DFO/2026/126,Account Reconciliation 7/2,Circular,Finance,2025-12-08,2025-12-19,2025-12-14,completed,medium,pooja,Closed
F127,/DFO/2026/127,Advance Settlement 7/3,Correspondence,Finance,2025-12-11,2025-12-23,2025-12-18,completed,high,pooja,Closed
F128,/DFO/2026/128,Grant Statement 7/1,Permit,Research,2025-12-06,2025-12-17,2025-12-11,completed,low,vikram,Closed
F129,/DFO/2026/129,Collaboration Approval 7/2,Proposal,Research,2025-12-09,2025-12-21,2025-12-15,completed,medium,vikram,Closed
F130,/DFO/2026/130,Sampling Note 7/3,Inspection Report,Research,2025-12-12,2025-12-19,2025-12-19,completed,high,vikram,Closed
F131,/DFO/2026/131,Encroachment Dossier 7/1,Complaint,Enforcement,2025-12-07,2025-12-19,,pending,low,meera,Pending action
F132,/DFO/2026/132,Field Complaint 7/2,Notice,Enforcement,2025-12-10,2025-12-17,2025-12-16,completed,medium,meera,Closed
F133,/DFO/2026/133,Patrol Action Memo 7/3,Budget,Enforcement,2025-12-13,2025-12-21,2025-12-20,completed,high,meera,Closed
F134,/DFO/2026/134,Patrolling Report 8/1,Circular,Wildlife,2026-01-02,2026-01-09,,in_progress,high,ramesh,Pending action
F135,/DFO/2026/135,Census Circular 8/2,Correspondence,Wildlife,2026-01-05,2026-01-13,2026-01-12,completed,urgent,ramesh,Closed
F136,/DFO/2026/136,Camera Trap Proposal 8/3,Permit,Wildlife,2026-01-08,2026-01-17,2026-01-13,completed,low,ramesh,Closed
F137,/DFO/2026/137,Transit Permit Review 8/4,Proposal,Wildlife,2026-01-11,2026-01-21,2026-01-17,completed,medium,ramesh,Closed
F138,/DFO/2026/138,Nursery Note 8/1,Inspection Report,Plantation,2026-01-03,2026-01-11,,pending,urgent,sita,Pending action
F139,/DFO/2026/139,Seedling Approval 8/2,Complaint,Plantation,2026-01-06,2026-01-15,2026-01-13,completed,low,sita,Closed
F140,/DFO/2026/140,Stock Inspection 8/3,Notice,Plantation,2026-01-09,2026-01-19,2026-01-21,completed,medium,sita,Closed
F141,/DFO/2026/141,Procurement File 8/1,Budget,Administration,2026-01-04,2026-01-13,,pending,urgent,ajay,Pending action
F142,/DFO/2026/142,Service Book Update 8/2,Circular,Administration,2026-01-07,2026-01-17,,escalated,low,ajay,Pending action
F143,/DFO/2026/143,Inspection Pending Note 8/3,Correspondence,Administration,2026-01-10,2026-01-21,,pending,medium,ajay,Pending action
F144,/DFO/2026/144,Account Reconciliation 8/1,Permit,Finance,2026-01-05,2026-01-15,2026-01-11,completed,urgent,pooja,Closed
F145,/DFO/2026/145,Advance Settlement 8/2,Proposal,Finance,2026-01-08,2026-01-19,2026-01-15,completed,low,pooja,Closed
F146,/DFO/2026/146,Grant Ledger 8/3,Inspection Report,Finance,2026-01-11,2026-01-23,2026-01-16,completed,medium,pooja,Closed
F147,/DFO/2026/147,Collaboration Approval 8/1,Complaint,Research,2026-01-06,2026-01-17,2026-01-12,completed,urgent,vikram,Closed
F148,/DFO/2026/148,Sampling Note 8/2,Notice,Research,2026-01-09,2026-01-21,2026-01-16,completed,low,vikram,Closed
F149,/DFO/2026/149,Study Review Memo 8/3,Budget,Research,2026-01-12,2026-01-19,2026-01-17,completed,medium,vikram,Closed
F150,/DFO/2026/150,Field Complaint 8/1,Circular,Enforcement,2026-01-07,2026-01-19,,pending,urgent,meera,Pending action
F151,/DFO/2026/151,Patrol Action Memo 8/2,Correspondence,Enforcement,2026-01-10,2026-01-17,2026-01-17,completed,low,meera,Closed
F152,/DFO/2026/152,Court Reply Notice 8/3,Permit,Enforcement,2026-01-13,2026-01-21,2026-01-18,completed,medium,meera,Closed
F153,/DFO/2026/153,Census Circular 9/1,Proposal,Wildlife,2026-02-02,2026-02-09,,in_progress,medium,ramesh,Pending action
F154,/DFO/2026/154,Camera Trap Proposal 9/2,Inspection Report,Wildlife,2026-02-05,2026-02-13,2026-02-10,completed,high,ramesh,Closed
F155,/DFO/2026/155,Transit Permit Review 9/3,Complaint,Wildlife,2026-02-08,2026-02-17,2026-02-14,completed,urgent,ramesh,Closed
F156,/DFO/2026/156,Rescue Memo 9/4,Notice,Wildlife,2026-02-11,2026-02-21,2026-02-18,completed,low,ramesh,Closed
F157,/DFO/2026/157,Seedling Approval 9/1,Budget,Plantation,2026-02-03,2026-02-11,,pending,high,sita,Pending action
F158,/DFO/2026/158,Stock Inspection 9/2,Circular,Plantation,2026-02-06,2026-02-15,2026-02-11,completed,urgent,sita,Closed
F159,/DFO/2026/159,Drive Proposal 9/3,Correspondence,Plantation,2026-02-09,2026-02-19,2026-02-21,completed,low,sita,Closed
F160,/DFO/2026/160,Service Book Update 9/1,Permit,Administration,2026-02-04,2026-02-13,,pending,high,ajay,Pending action
F161,/DFO/2026/161,Inspection Pending Note 9/2,Proposal,Administration,2026-02-07,2026-02-17,,escalated,urgent,ajay,Pending action
F162,/DFO/2026/162,Attendance File 9/3,Inspection Report,Administration,2026-02-10,2026-02-21,,pending,low,ajay,Pending action
F163,/DFO/2026/163,Advance Settlement 9/1,Complaint,Finance,2026-02-05,2026-02-15,2026-02-12,completed,high,pooja,Closed
F164,/DFO/2026/164,Grant Ledger 9/2,Notice,Finance,2026-02-08,2026-02-19,2026-02-13,completed,urgent,pooja,Closed
F165,/DFO/2026/165,Budget Approval 9/3,Budget,Finance,2026-02-11,2026-02-23,2026-02-17,completed,low,pooja,Closed
F166,/DFO/2026/166,Sampling Note 9/1,Circular,Research,2026-02-06,2026-02-17,2026-02-13,completed,high,vikram,Closed
F167,/DFO/2026/167,Study Review Memo 9/2,Correspondence,Research,2026-02-09,2026-02-21,2026-02-14,completed,urgent,vikram,Closed
F168,/DFO/2026/168,Plot Access Request 9/3,Permit,Research,2026-02-12,2026-02-19,2026-02-18,completed,low,vikram,Closed
F169,/DFO/2026/169,Patrol Action Memo 9/1,Proposal,Enforcement,2026-02-07,2026-02-19,,pending,high,meera,Pending action
F170,/DFO/2026/170,Court Reply Notice 9/2,Inspection Report,Enforcement,2026-02-10,2026-02-17,2026-02-15,completed,urgent,meera,Closed
F171,/DFO/2026/171,Seizure Case 9/3,Complaint,Enforcement,2026-02-13,2026-02-21,2026-02-19,completed,low,meera,Closed
F172,/DFO/2026/172,Camera Trap Proposal 10/1,Notice,Wildlife,2026-03-02,2026-03-09,,in_progress,low,ramesh,Pending action
F173,/DFO/2026/173,Transit Permit Review 10/2,Budget,Wildlife,2026-03-05,2026-03-13,2026-03-11,completed,medium,ramesh,Closed
F174,/DFO/2026/174,Rescue Memo 10/3,Circular,Wildlife,2026-03-08,2026-03-17,2026-03-15,completed,high,ramesh,Closed
F175,/DFO/2026/175,Patrolling Report 10/4,Correspondence,Wildlife,2026-03-11,2026-03-21,2026-03-16,completed,urgent,ramesh,Closed
F176,/DFO/2026/176,Stock Inspection 10/1,Permit,Plantation,2026-03-03,2026-03-11,,pending,medium,sita,Pending action
F177,/DFO/2026/177,Drive Proposal 10/2,Proposal,Plantation,2026-03-06,2026-03-15,2026-03-12,completed,high,sita,Closed
F178,/DFO/2026/178,Survival Report 10/3,Inspection Report,Plantation,2026-03-09,2026-03-19,2026-03-21,completed,urgent,sita,Closed
F179,/DFO/2026/179,Inspection Pending Note 10/1,Complaint,Administration,2026-03-04,2026-03-13,,pending,medium,ajay,Pending action
F180,/DFO/2026/180,Attendance File 10/2,Notice,Administration,2026-03-07,2026-03-17,,escalated,high,ajay,Pending action
F181,/DFO/2026/181,Movement Note 10/3,Budget,Administration,2026-03-10,2026-03-21,,pending,urgent,ajay,Pending action
F182,/DFO/2026/182,Grant Ledger 10/1,Circular,Finance,2026-03-05,2026-03-15,2026-03-10,completed,medium,pooja,Closed
F183,/DFO/2026/183,Budget Approval 10/2,Correspondence,Finance,2026-03-08,2026-03-19,2026-03-14,completed,high,pooja,Closed
F184,/DFO/2026/184,Arrear Clarification 10/3,Permit,Finance,2026-03-11,2026-03-23,2026-03-18,completed,urgent,pooja,Closed
F185,/DFO/2026/185,Study Review Memo 10/1,Proposal,Research,2026-03-06,2026-03-17,2026-03-11,completed,medium,vikram,Closed
F186,/DFO/2026/186,Plot Access Request 10/2,Inspection Report,Research,2026-03-09,2026-03-21,2026-03-15,completed,high,vikram,Closed
F187,/DFO/2026/187,Grant Statement 10/3,Complaint,Research,2026-03-12,2026-03-19,2026-03-19,completed,urgent,vikram,Closed
F188,/DFO/2026/188,Court Reply Notice 10/1,Notice,Enforcement,2026-03-07,2026-03-19,,pending,medium,meera,Pending action
F189,/DFO/2026/189,Seizure Case 10/2,Budget,Enforcement,2026-03-10,2026-03-17,2026-03-16,completed,high,meera,Closed
F190,/DFO/2026/190,Encroachment Dossier 10/3,Circular,Enforcement,2026-03-13,2026-03-21,2026-03-20,completed,urgent,meera,Closed
F191,/DFO/2026/191,Transit Permit Review 11/1,Correspondence,Wildlife,2026-04-02,2026-04-09,,in_progress,urgent,ramesh,Pending action
F192,/DFO/2026/192,Rescue Memo 11/2,Permit,Wildlife,2026-04-05,2026-04-13,2026-04-12,completed,low,ramesh,Closed
F193,/DFO/2026/193,Patrolling Report 11/3,Proposal,Wildlife,2026-04-08,2026-04-17,2026-04-13,completed,medium,ramesh,Closed
F194,/DFO/2026/194,Census Circular 11/4,Inspection Report,Wildlife,2026-04-11,2026-04-21,2026-04-17,completed,high,ramesh,Closed
F195,/DFO/2026/195,Drive Proposal 11/1,Complaint,Plantation,2026-04-03,2026-04-11,,pending,low,sita,Pending action
F196,/DFO/2026/196,Survival Report 11/2,Notice,Plantation,2026-04-06,2026-04-15,2026-04-13,completed,medium,sita,Closed
F197,/DFO/2026/197,Nursery Note 11/3,Budget,Plantation,2026-04-09,2026-04-19,2026-04-21,completed,high,sita,Closed
F198,/DFO/2026/198,Attendance File 11/1,Circular,Administration,2026-04-04,2026-04-13,,pending,low,ajay,Pending action
F199,/DFO/2026/199,Movement Note 11/2,Correspondence,Administration,2026-04-07,2026-04-17,,escalated,medium,ajay,Pending action
F200,/DFO/2026/200,Procurement File 11/3,Permit,Administration,2026-04-10,2026-04-21,,pending,high,ajay,Pending action
F201,/DFO/2026/201,Budget Approval 11/1,Proposal,Finance,2026-04-05,2026-04-15,2026-04-11,completed,low,pooja,Closed
F202,/DFO/2026/202,Arrear Clarification 11/2,Inspection Report,Finance,2026-04-08,2026-04-19,2026-04-15,completed,medium,pooja,Closed
F203,/DFO/2026/203,Account Reconciliation 11/3,Complaint,Finance,2026-04-11,2026-04-23,2026-04-16,completed,high,pooja,Closed
F204,/DFO/2026/204,Plot Access Request 11/1,Notice,Research,2026-04-06,2026-04-17,2026-04-12,completed,low,vikram,Closed
F205,/DFO/2026/205,Grant Statement 11/2,Budget,Research,2026-04-09,2026-04-21,2026-04-16,completed,medium,vikram,Closed
